Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
a407afcdf94af8e846fc5ed60b266f6820c4673e6473b43af199d2af958654c2,943729b1d3028a5ac14f1bfa14121b083aa13faaa04022c3542888068561b7cd,APPROVED,Not Applicable,2024-02-28T16:19:07.082000Z,2024-02-28T16:40:19.527000Z,2024-02-28T16:40:20.251000Z,2024-02-28T16:40:20.145169Z,1273.0,CJNL5D58,141,"French, German, Italian, English, Korean",23,Female,Mixed,Turkey,Germany,Germany,German,Yes,DATA_EXPIRED
bbf5453a839a56e1b730918dd813b38dc21ea5c2e50d414f3ba5533078f01e18,41fc5df571acd8924473e683d937debf5d5684c09df6f018307a7e4c8f6ed093,APPROVED,Not Applicable,2024-02-28T16:27:15.304000Z,2024-02-28T16:50:05.951000Z,2024-02-28T16:50:06.667000Z,2024-02-28T16:50:06.596836Z,1371.0,CJNL5D58,16,"English, German, French, Turkish",26,Female,White,Turkey,Germany,Turkey,Turkish,Yes,Unemployed (and job seeking)
ee01ecf7fecd3c22a0f89345df091884392652f856fcb29f366a673cddc0a7f2,4707814fc7a00d2e48316a0ea74e3e9aa881d5872723ee892a620d4e9813616e,APPROVED,Not Applicable,2024-02-28T16:19:20.067000Z,2024-02-28T16:38:55.204000Z,2024-02-28T16:38:55.867000Z,2024-02-28T16:38:55.752080Z,1176.0,CJNL5D58,657,"German, English",35,Male,White,Germany,Germany,Germany,German,No,Full-Time
8773ebf78554cc9f37cd65e16c46e1efc25b52d68a68126a31b2be8b57347037,e040845e63e677663f52d249a14b6d40b7d403baaeeb703838994fd8c987d9a0,APPROVED,Not Applicable,2024-02-28T16:29:05.924000Z,2024-02-28T17:07:11.991000Z,2024-02-28T17:07:12.746000Z,2024-02-28T17:07:12.657269Z,2287.0,CJNL5D58,51,"German, English",33,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
403487f979a82fcc31f799fa5e1fccc5c201148cacbb771c5322b1161e09b0f6,65efd2b9a2e023aca0e42f781ab63d2a5c6c1176ecb8b49ec8a8cb8d1324ea8c,RETURNED,Not Applicable,2024-02-28T16:20:33.495000Z,,,2024-05-06T13:45:01.311000Z,,,751,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
3ad162b0d6a0b65caac01b9ddda0bcc26ab3a7eb1453f9e621021d0def921fb1,0712d987e3867268fc9e12888b3a9585bd19d3bfa54a2bf4799d68caa62a3a2f,RETURNED,Not Applicable,2024-02-28T16:20:46.611000Z,,,2024-05-06T13:45:01.336480Z,,,645,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
d6c072586a7d618a7f1d185cb631f7dc1cc0d4ad01376d3e7ff37d753e070ec3,8f52762907eaada385e10d03323f50777edcdbe936e892d06b8ee81a23892646,RETURNED,Not Applicable,2024-02-28T16:20:41.542000Z,,,2024-05-06T13:45:01.406810Z,,,1282,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
d90bc3b639ac81c23e81a6426018ab278cbb18b19595a7f4e0b398894241590c,ed221ed5987e67e9d0f54dba60cb65843a779b179f5469ce58af40da87b42d9d,RETURNED,Not Applicable,2024-02-28T16:21:10.556000Z,,,2024-05-06T13:45:01.408161Z,,,185,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
ee4197b1ec64ebcdb3cd96c3a05065a638a8a690a05b62d5408d4b4d9919bb31,3c25b42f306ddc8bf6ca2b2764202cdd4df97132d3cd56af3aa8e35b97d83e92,APPROVED,Not Applicable,2024-02-28T16:24:40.772000Z,2024-02-28T17:11:51.355000Z,2024-02-28T17:11:52.089000Z,2024-02-28T17:11:51.983227Z,2831.0,CJNL5D58,95,"German, English",29,Male,White,Germany,Germany,Germany,German,No,Full-Time
564ce117d21c80fdcdf8bc12ae4c457c10a2521a47f3b894bcd11da88227db4f,f38e221d6be399db9cdcf5bd44be96ea721e6e82dca30a9ac48f34275f00174d,APPROVED,Not Applicable,2024-02-28T16:21:25.063000Z,2024-02-28T16:44:17.251000Z,2024-02-28T16:44:22.792000Z,2024-02-28T16:44:17.700514Z,1373.0,CJNL5D58,194,"German, English",34,Male,White,Germany,Germany,Germany,German,No,Unemployed (and job seeking)
